@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE class {links,rechts}

@DATA
0.124229,0.006689,2.086577,0.231199,0.185694,1.209440,0.002693,0.216724,0.002947,0.002994,0.021121,0.005401,0.007038,0.001666,0.034311,0.001734,0.001625,0.008220,0.005536,0.001946,0.010332,0.028485,0.010075,1.022537,0.023684,0.046465,0.327904,0.001519,0.063601,0.003285,0.002269,0.022052,0.005043,0.007115,0.001241,0.040291,0.001452,0.001534,0.009342,0.005446,0.002182,0.011225,rechts
0.130313,0.015175,1.311504,0.238079,0.173097,1.215025,0.002667,0.242591,0.002707,0.004104,0.009564,0.003838,0.003810,0.002226,0.006150,0.001404,0.003013,0.002845,0.003660,0.001920,0.003659,0.021530,0.016409,0.783665,0.042234,0.034959,0.412612,0.001545,0.061970,0.002414,0.003020,0.011137,0.003931,0.005625,0.002656,0.010537,0.001897,0.004700,0.003622,0.004937,0.002150,0.003769,rechts
0.097092,0.014410,1.574010,0.219721,0.166537,1.118251,0.004679,0.217182,0.003248,0.005096,0.010204,0.004940,0.005270,0.004177,0.009505,0.002313,0.003961,0.005816,0.003838,0.001967,0.006244,0.033167,0.017641,0.936651,0.051702,0.031998,0.452403,0.004072,0.073175,0.004568,0.006429,0.014352,0.006490,0.011169,0.008932,0.019606,0.004658,0.007888,0.009803,0.005733,0.002352,0.009049,rechts
0.132012,0.015287,1.384418,0.237789,0.175439,1.271509,0.002671,0.245975,0.002730,0.003981,0.009124,0.003929,0.004341,0.002217,0.006308,0.001552,0.002572,0.003294,0.003950,0.002105,0.003589,0.021297,0.017647,0.880177,0.041316,0.031004,0.367809,0.001385,0.056181,0.002402,0.002706,0.010208,0.003679,0.005793,0.002657,0.011325,0.002067,0.004166,0.004729,0.004821,0.001933,0.003871,rechts
0.121078,0.018296,1.345304,0.237598,0.170082,1.238071,0.003330,0.241869,0.003481,0.004183,0.007694,0.004772,0.004680,0.003393,0.005211,0.001380,0.001808,0.002432,0.003248,0.002484,0.004158,0.031120,0.021840,0.877333,0.044329,0.033313,0.430494,0.002749,0.064298,0.006348,0.002943,0.009017,0.007534,0.009116,0.006301,0.008170,0.002052,0.002864,0.003726,0.005620,0.003832,0.005338,rechts
0.111504,0.015532,1.483280,0.231208,0.168779,1.206779,0.004130,0.236216,0.002848,0.005530,0.009243,0.004195,0.005693,0.004636,0.008020,0.001335,0.003350,0.003427,0.003877,0.003035,0.005394,0.037040,0.018503,0.949120,0.050755,0.033482,0.407033,0.003568,0.072092,0.003011,0.007220,0.013013,0.005702,0.010258,0.009691,0.014895,0.001819,0.007452,0.005464,0.007484,0.006180,0.008126,rechts
0.124247,0.014115,1.346794,0.233965,0.170525,1.272268,0.003318,0.244093,0.003821,0.004634,0.009094,0.004242,0.004743,0.004213,0.006198,0.001364,0.001881,0.002712,0.003892,0.003063,0.004387,0.026784,0.018007,0.899176,0.043892,0.031071,0.421567,0.002744,0.067719,0.006201,0.003754,0.011873,0.005226,0.007840,0.007949,0.012118,0.001480,0.002537,0.003544,0.006685,0.005216,0.006141,rechts
0.120270,0.015274,1.363617,0.236981,0.171031,1.233571,0.003501,0.241352,0.003238,0.003847,0.007858,0.006199,0.003980,0.004340,0.006828,0.001875,0.002209,0.003136,0.003802,0.001922,0.004720,0.033711,0.017290,0.903693,0.047149,0.033829,0.446799,0.002713,0.070337,0.004754,0.002856,0.009012,0.010527,0.005920,0.008422,0.012687,0.004212,0.003805,0.005695,0.006981,0.002312,0.006373,rechts
0.116395,0.016639,1.537857,0.233022,0.170113,1.235738,0.003948,0.240767,0.002647,0.004428,0.007974,0.007716,0.008557,0.004477,0.006592,0.002978,0.002337,0.002578,0.003588,0.002209,0.005873,0.034118,0.021414,0.949486,0.050804,0.031865,0.425482,0.003477,0.072219,0.002811,0.004116,0.008303,0.012720,0.019582,0.010614,0.011296,0.005993,0.004255,0.004004,0.005409,0.002770,0.008586,rechts
0.111361,0.015174,1.517471,0.228882,0.166858,1.151586,0.003713,0.231025,0.002653,0.003786,0.009197,0.005825,0.008990,0.005706,0.007533,0.002059,0.001673,0.003657,0.003772,0.001869,0.005654,0.033564,0.018368,0.915517,0.051904,0.033368,0.436314,0.003273,0.077474,0.003349,0.002917,0.010641,0.008971,0.018200,0.014158,0.013380,0.005011,0.002394,0.006126,0.005978,0.001879,0.008227,rechts
0.111307,0.013781,1.563843,0.230357,0.172549,1.172420,0.004814,0.230000,0.003224,0.003725,0.009356,0.005870,0.009949,0.005534,0.008338,0.002709,0.002953,0.004336,0.004378,0.002708,0.006751,0.034540,0.016433,0.941725,0.048969,0.032488,0.457605,0.004542,0.083372,0.004051,0.003625,0.010967,0.011167,0.018701,0.011543,0.015556,0.006833,0.005015,0.007381,0.006998,0.004075,0.009095,rechts
0.126057,0.016135,1.364039,0.237993,0.170112,1.201719,0.002654,0.241933,0.002312,0.003711,0.008154,0.003625,0.004091,0.003491,0.006139,0.001647,0.001785,0.002379,0.003114,0.002166,0.003515,0.020438,0.018512,0.853731,0.043175,0.035318,0.401313,0.001525,0.058491,0.002044,0.003023,0.008571,0.004151,0.006779,0.006688,0.010561,0.002733,0.002987,0.003807,0.004100,0.002250,0.003908,rechts
0.133029,0.015548,1.377545,0.237746,0.172136,1.275666,0.002594,0.244483,0.002428,0.003664,0.009571,0.003575,0.004091,0.002810,0.007543,0.001596,0.001642,0.002045,0.003305,0.002004,0.003811,0.019646,0.019621,0.841872,0.040697,0.033603,0.400738,0.001240,0.056719,0.002281,0.002949,0.011322,0.003176,0.005239,0.003738,0.012192,0.002449,0.002014,0.002734,0.004407,0.001873,0.003992,rechts
0.123950,0.016274,1.419759,0.233745,0.168078,1.183828,0.002739,0.234338,0.003178,0.003673,0.008441,0.003932,0.003904,0.002941,0.005367,0.001374,0.001775,0.002390,0.003585,0.002132,0.003381,0.020136,0.018381,0.868195,0.042802,0.032948,0.375821,0.001480,0.053482,0.003766,0.002756,0.010403,0.003978,0.005151,0.004124,0.008663,0.002013,0.002960,0.003530,0.005177,0.002390,0.003369,rechts
0.128178,0.017918,1.427485,0.235469,0.170575,1.262848,0.002756,0.241828,0.002619,0.003722,0.009628,0.003968,0.004927,0.002890,0.007456,0.001411,0.001730,0.001934,0.003758,0.001994,0.003990,0.019532,0.019857,0.916478,0.044450,0.030999,0.360976,0.001558,0.053910,0.002085,0.002860,0.012856,0.004259,0.006886,0.003867,0.013675,0.001960,0.002283,0.002515,0.005284,0.001781,0.004787,rechts
0.130029,0.016181,1.451095,0.234070,0.169358,1.244918,0.002729,0.237359,0.002583,0.003573,0.008864,0.003814,0.004469,0.003410,0.008209,0.001507,0.001974,0.002661,0.003586,0.002195,0.003851,0.022263,0.020239,0.880887,0.044472,0.034510,0.377266,0.001601,0.055378,0.002596,0.002627,0.010116,0.003943,0.005835,0.004727,0.015579,0.001953,0.002657,0.003650,0.004841,0.002616,0.004774,rechts
0.129006,0.017378,1.313942,0.240696,0.171970,1.267758,0.002621,0.249165,0.002529,0.003924,0.008295,0.003534,0.003987,0.003025,0.006450,0.001628,0.001899,0.002177,0.003263,0.001831,0.003455,0.021732,0.019537,0.852877,0.045792,0.033424,0.410059,0.001529,0.063070,0.002692,0.002667,0.009381,0.003510,0.005901,0.004698,0.012217,0.002822,0.002846,0.003220,0.004362,0.001652,0.003834,rechts
0.127001,0.016075,1.397843,0.233701,0.174293,1.216041,0.002787,0.231230,0.002693,0.004075,0.008462,0.004290,0.004679,0.003301,0.008387,0.002373,0.002273,0.002359,0.004084,0.002157,0.003730,0.021525,0.018421,0.884109,0.043562,0.029920,0.380876,0.001685,0.053547,0.003055,0.002789,0.008938,0.004916,0.006256,0.003953,0.014205,0.004285,0.003377,0.003101,0.005532,0.002609,0.003920,rechts
0.129342,0.015623,1.353763,0.234762,0.167460,1.244852,0.002599,0.240372,0.002395,0.003379,0.008181,0.003677,0.003716,0.002628,0.006056,0.001630,0.001592,0.001850,0.003170,0.001913,0.003322,0.018376,0.017342,0.853517,0.041801,0.031855,0.379552,0.001318,0.050718,0.002312,0.002218,0.009861,0.003837,0.005235,0.003602,0.011817,0.002837,0.002427,0.002218,0.004348,0.001901,0.003958,rechts
0.124626,0.012290,1.380777,0.232489,0.167975,1.230091,0.002778,0.240994,0.002087,0.003445,0.009561,0.003764,0.003839,0.003477,0.009253,0.002003,0.001719,0.002448,0.003116,0.001934,0.004237,0.021921,0.015381,0.825597,0.042965,0.034261,0.433094,0.001676,0.066463,0.001773,0.002653,0.011346,0.003618,0.005076,0.005014,0.016502,0.003117,0.002193,0.003224,0.003869,0.001969,0.005143,rechts
0.130760,0.014162,1.391162,0.237998,0.169655,1.197540,0.002773,0.239342,0.002073,0.003206,0.008076,0.003193,0.004269,0.002513,0.010268,0.001380,0.001603,0.001711,0.003079,0.001798,0.004526,0.022159,0.016946,0.888222,0.039750,0.031892,0.427932,0.001666,0.056050,0.001718,0.002485,0.009804,0.003293,0.007519,0.003840,0.024896,0.002006,0.002175,0.002200,0.005198,0.001778,0.007520,rechts
0.123525,0.016613,1.463133,0.232432,0.172104,1.216370,0.002976,0.235290,0.003297,0.003872,0.011370,0.004769,0.005472,0.003444,0.009256,0.001916,0.002349,0.002508,0.004303,0.002203,0.004547,0.022759,0.020694,0.927429,0.046773,0.035207,0.398765,0.001712,0.056663,0.003705,0.003303,0.014700,0.005423,0.007202,0.004961,0.014711,0.003252,0.003854,0.003280,0.005980,0.002050,0.005038,rechts
0.134803,0.015715,1.491733,0.237456,0.168570,1.266167,0.002620,0.245499,0.002822,0.003590,0.007054,0.003679,0.003933,0.003360,0.005465,0.001772,0.001577,0.001909,0.003381,0.002733,0.003133,0.021014,0.018486,0.856428,0.043301,0.035033,0.426029,0.001414,0.058618,0.002975,0.002899,0.006856,0.003658,0.005313,0.005318,0.008789,0.003111,0.002352,0.002556,0.004696,0.003155,0.002911,rechts
0.155050,0.015102,1.491712,0.240390,0.169047,1.286783,0.002359,0.251983,0.002313,0.003038,0.009116,0.003358,0.003827,0.002555,0.006417,0.001519,0.001663,0.001822,0.002704,0.001827,0.003427,0.027571,0.016018,0.955867,0.034031,0.028617,0.445023,0.001129,0.054059,0.002101,0.002191,0.012360,0.003041,0.005265,0.003356,0.010759,0.002119,0.002269,0.002323,0.003423,0.001703,0.004094,rechts
0.126847,0.014335,1.421477,0.234430,0.170094,1.252700,0.002642,0.241838,0.002723,0.003764,0.007999,0.003893,0.004748,0.003478,0.007309,0.001644,0.001781,0.002381,0.003814,0.002609,0.003606,0.021135,0.017621,0.939965,0.043886,0.032453,0.370869,0.001607,0.053950,0.002796,0.002932,0.008451,0.003844,0.006522,0.005547,0.012796,0.002602,0.002487,0.003365,0.005114,0.002777,0.003763,rechts
0.126788,0.015238,1.313303,0.236079,0.166070,1.237368,0.002634,0.242037,0.002324,0.003631,0.007698,0.004092,0.003571,0.002922,0.006966,0.001403,0.001729,0.002343,0.003033,0.002248,0.003397,0.018679,0.017219,0.951994,0.042788,0.035005,0.379060,0.001350,0.049316,0.002362,0.002743,0.008011,0.006163,0.005085,0.004091,0.014041,0.002009,0.002544,0.003482,0.004071,0.002994,0.004130,rechts
0.123410,0.017230,1.415337,0.236464,0.172158,1.181194,0.002798,0.235567,0.003118,0.004110,0.008633,0.003807,0.004399,0.003301,0.009210,0.001766,0.001784,0.002282,0.003702,0.002542,0.004120,0.021462,0.019731,0.924074,0.044195,0.032229,0.374390,0.001515,0.052428,0.003996,0.002973,0.010458,0.004026,0.006291,0.004735,0.016550,0.002930,0.002650,0.003274,0.005364,0.003600,0.004910,rechts
0.120622,0.014958,1.364514,0.235652,0.171372,1.224801,0.002732,0.238172,0.002582,0.004119,0.009398,0.004127,0.004682,0.003998,0.008626,0.001746,0.001888,0.002617,0.003308,0.002221,0.004053,0.022413,0.017522,0.933074,0.045023,0.031872,0.403877,0.001566,0.062143,0.002602,0.003344,0.012768,0.004526,0.006564,0.006341,0.015525,0.002488,0.002650,0.003782,0.004769,0.002461,0.004947,rechts
0.153335,0.016288,1.398004,0.240298,0.168647,1.307337,0.002513,0.254877,0.002518,0.003386,0.008553,0.003634,0.004282,0.002849,0.005331,0.001474,0.001603,0.001889,0.002614,0.002239,0.003282,0.024500,0.020802,0.897152,0.040994,0.032873,0.403341,0.001269,0.054337,0.002394,0.002438,0.009907,0.004129,0.007127,0.003817,0.009032,0.001745,0.002018,0.002281,0.002933,0.002618,0.003534,rechts
0.145853,0.015007,1.508191,0.238272,0.167185,1.260262,0.002443,0.248172,0.002946,0.003778,0.009155,0.003388,0.003794,0.002476,0.006523,0.001257,0.001666,0.002110,0.003317,0.001825,0.003517,0.023306,0.018643,0.884884,0.039970,0.032928,0.425214,0.001301,0.056221,0.003404,0.002890,0.010012,0.003547,0.005407,0.003081,0.011748,0.001580,0.002042,0.002872,0.004635,0.001602,0.003880,rechts
0.135776,0.015428,1.255419,0.238050,0.167546,1.267188,0.002427,0.246034,0.002265,0.003303,0.007583,0.003943,0.003376,0.002557,0.003919,0.001695,0.001523,0.002031,0.002756,0.001744,0.002782,0.022130,0.017337,0.872431,0.042611,0.034255,0.362687,0.001230,0.048842,0.002154,0.003203,0.009543,0.005225,0.004266,0.003832,0.006126,0.002475,0.001818,0.003045,0.003415,0.001621,0.003039,rechts
