@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE class {links,rechts}

@DATA
0.102389,0.007632,1.399999,0.224314,0.167043,1.155505,0.003586,0.235050,0.005273,0.004457,0.009286,0.007071,0.005525,0.004190,0.006564,0.001591,0.002733,0.004165,0.005209,0.003571,0.005316,0.025895,0.008891,0.980070,0.040070,0.032977,0.431081,0.002597,0.070108,0.008059,0.003280,0.010809,0.013584,0.009208,0.008190,0.011040,0.001900,0.003526,0.005861,0.007859,0.005318,0.007072,links
0.089737,0.007955,1.576294,0.212566,0.164965,1.041949,0.005545,0.207010,0.004045,0.004399,0.009049,0.010476,0.011463,0.009956,0.010228,0.002469,0.003512,0.004479,0.004433,0.002558,0.008323,0.036582,0.010090,0.959733,0.046471,0.033143,0.446349,0.005179,0.079997,0.004703,0.004226,0.010932,0.017320,0.019781,0.017831,0.019719,0.005874,0.007186,0.006708,0.007428,0.002763,0.011203,links
0.098038,0.007542,1.591647,0.212043,0.164477,1.064697,0.004640,0.214111,0.005840,0.004675,0.014984,0.011974,0.008596,0.005277,0.006453,0.002194,0.004191,0.004196,0.003907,0.002202,0.007175,0.035129,0.010494,1.052539,0.048142,0.031849,0.441191,0.003240,0.086756,0.007415,0.005263,0.020312,0.019845,0.013922,0.009530,0.010261,0.003405,0.007231,0.005750,0.004817,0.002453,0.008687,links
0.093931,0.007835,1.476503,0.215083,0.164958,1.104216,0.004746,0.217173,0.004777,0.005378,0.010534,0.006513,0.006408,0.005217,0.008268,0.001767,0.004510,0.005944,0.005934,0.002999,0.005919,0.035676,0.009855,1.049748,0.046768,0.030689,0.385502,0.004263,0.076428,0.006572,0.006213,0.014021,0.008386,0.010116,0.009688,0.013461,0.002580,0.009039,0.008602,0.009408,0.003697,0.007214,links
0.097911,0.008860,1.438560,0.219555,0.166560,1.103337,0.004191,0.217101,0.003884,0.004104,0.011619,0.004998,0.007560,0.005814,0.011026,0.001942,0.004206,0.005238,0.004373,0.002438,0.006169,0.026000,0.011926,0.992975,0.043850,0.034190,0.379684,0.003301,0.066570,0.004158,0.002633,0.017392,0.006705,0.010472,0.009490,0.019983,0.002762,0.008911,0.009129,0.005981,0.002509,0.008238,links
0.081377,0.007239,1.692890,0.205192,0.164959,0.994917,0.006316,0.197963,0.005039,0.005545,0.008917,0.006443,0.008944,0.011199,0.015850,0.002935,0.006120,0.007025,0.005694,0.003552,0.009126,0.034157,0.009864,1.081017,0.051449,0.032398,0.437075,0.005061,0.089380,0.007807,0.006908,0.010281,0.010096,0.015028,0.021343,0.024538,0.005564,0.011886,0.011254,0.008741,0.005432,0.011249,links
0.095706,0.007688,1.480397,0.212754,0.162869,1.062479,0.004584,0.211579,0.004872,0.004708,0.009357,0.005597,0.007119,0.006119,0.011774,0.002554,0.003504,0.004856,0.003982,0.002577,0.006065,0.031822,0.008939,1.012490,0.044794,0.033216,0.399943,0.003704,0.073615,0.007020,0.004620,0.011714,0.007247,0.011655,0.011210,0.020723,0.004696,0.005869,0.006820,0.005184,0.002818,0.007521,links
0.092051,0.007653,1.476701,0.217455,0.166894,1.102791,0.004621,0.220835,0.004472,0.003943,0.008473,0.005347,0.009174,0.007616,0.010497,0.002233,0.004129,0.004801,0.003895,0.002712,0.006006,0.026807,0.009579,0.971262,0.045254,0.033742,0.373248,0.003891,0.068372,0.005207,0.003052,0.010650,0.006773,0.015916,0.014676,0.017848,0.003772,0.007299,0.006502,0.004721,0.003281,0.007851,links
0.082398,0.006416,1.666163,0.200946,0.162923,0.947980,0.005968,0.189542,0.004243,0.003628,0.009901,0.010857,0.016093,0.012269,0.012435,0.002818,0.003913,0.004927,0.004596,0.002694,0.008956,0.034224,0.008729,0.998048,0.050304,0.032242,0.418719,0.005096,0.084362,0.005651,0.002930,0.012494,0.016777,0.022774,0.019291,0.017980,0.005135,0.007011,0.006905,0.005863,0.002862,0.010102,links
0.102652,0.008113,1.425815,0.218029,0.162924,1.127835,0.004139,0.225672,0.004470,0.004325,0.009992,0.005326,0.007746,0.003411,0.009888,0.003670,0.002900,0.003770,0.004865,0.002473,0.005842,0.026025,0.010179,1.004342,0.042984,0.032161,0.407828,0.003704,0.070394,0.005972,0.004033,0.012298,0.007148,0.015179,0.005135,0.020847,0.010035,0.004163,0.005915,0.006633,0.002839,0.008541,links
